"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00126792","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","loblaw: migrate ui version 4.8 -> 5.1","5.1.5","","","3/4/2012","C4","Closed","4.00","0.000","4.000"
"00126587","Support Team","","Igor Gubernat","Bazaarvoice","Orion Telescope - Ready to implement SCI","5.1.5","SCI","5.1.5","3/4/2012","C4","Closed","2.00","0.250","2.000"
"00126536","Support Team","","Igor Gubernat","Destination Maternity Corp formerly Mothers Work, Inc.","adding new categories to dimension sliders/features","5.1.5","Minor UI Change","5.1.5","3/4/2012","C1","Closed","1.00","0.750","1.500"
"00126375","Support Team","","Igor Gubernat","Bazaarvoice","SCI request for abnamro","5.4.0","SCI","5.5.1","4/24/2012","C4","In Progress","2.00","1.000","2.000"
"00126352","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","olay-en_au: migrate UI version 4.7 -> 5.1","5.1.5","","","3/4/2012","C4","Closed","4.00","0.000","4.250"
"00125847","Support Team","","Igor Gubernat","Navitor","Social Alert Email","5.1.5","Text Change","5.1.5","3/4/2012","C1","Closed","0.20","1.250","0.250"
"00125803","Support Team","","Igor Gubernat","Xerox","Remove date from Client Response","5.1.5","Text Change","5.1.5","3/4/2012","C1","Closed","1.00","1.750","0.500"
"00125705","Support Team","","Igor Gubernat","Bazaarvoice","SCI enablement for www.rebelsport.com.au","5.1.4","SCI","5.1.4","3/4/2012","C4","Closed","2.00","0.250","2.500"
"00125703","Support Team","","Igor Gubernat","Bazaarvoice","SCI enablement for http://www.amartallsports.com.au","5.1.4","SCI","5.1.4","3/4/2012","C4","Closed","2.50","0.250","2.000"
"00125554","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","verbaudet: Migrate UI version 4.7 -> 5.1","5.1.3","","","3/4/2012","C4","Closed","9.00","0.000","9.000"
"00125068","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","virginmobileaustralia: Migrate UI version 4.8 -> 5.1","5.6.1","","","5/2/2012","C4","In Progress","2.00","0.500","2.000"
"00125019","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","WinderFarms: Migrate UI version to 5.1","5.1.2","","","3/4/2012","C4","Closed","2.00","0.250","2.000"
"00124943","Support Team","","Igor Gubernat","Adidas-Group","Guidelines Copy","5.2.1","Text Change","5.2.1","3/12/2012","","Closed","0.75","1.750","10.500"
"00124726","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","skullcandy: migrate UI version 4.8 -> 5.1","5.4.0","","","4/5/2012","C4","Closed","3.00","0.000","5.000"
"00124563","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","footlocker-en_gb: Migrate UI version 4.9 -> 5.0","5.1.2","","","3/4/2012","C4","Closed","2.00","0.000","1.750"
"00124533","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","sallyhansen: Migrate UI version 4.9 -> 5.0","5.1.2","","","3/4/2012","C4","Closed","2.00","0.000","2.000"
"00124521","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","costco: Migrate UI version 4.7 -> 5.0","5.1.1","","","3/4/2012","C4","Closed","3.00","0.000","3.000"
"00124524","Strategic  Integration","Other","Igor Gubernat","Bazaarvoice","Douglas (PRR, A&A): issues remaining from BVC-83751","5.2.1","","","3/19/2012","C4","Closed","6.00","0.000","7.500"
"00124520","Strategic  Integration","UI Migration","Igor Gubernat","Bazaarvoice","Paramountfarms: Migrate UI version 4.7 -> 5.0","5.1.1","","","3/4/2012","C4","Closed","2.50","0.000","2.500"
